"appid","steamDB_rating","steamDB_total_ratings"
494160, 0.0, 0
494240, 0.0, 0
494430, 0.0, 0
494440, 57.52, 43
494450, 33.95, 30
494460, 31.77, 27
494470, 53.59, 36
494530, 23.76, 9
494700, 0.0, 0
494840, 0.0, 0
494990, 61.83, 17
495120, 0.0, 0
495200, 28.47, 2
495480, 0.0, 0
495540, 0.0, 0
495600, 0.0, 0
496240, 89.72, 1480
496260, 87.14, 107
496570, 0.0, 0
496660, 0.0, 0
496750, 20.46, 98
496760, 65.8, 24
497000, 23.76, 9
497160, 0.0, 0
497360, 22.84, 12
497700, 82.5, 77
498240, 72.37, 4913
498310, 0.0, 0
498370, 0.0, 0
498460, 0.0, 0
498840, 49.88, 5
498970, 67.74, 43
499140, 0.0, 0
499470, 0.0, 0
499580, 0.0, 0
500180, 54.72, 10
500670, 0.0, 0
500800, 0.0, 0
500810, 85.21, 263
500980, 26.43, 13
501280, 0.0, 0
501320, 0.0, 0
501410, 61.43, 8
501650, 0.0, 0
501660, 0.0, 0
501680, 0.0, 0
501910, 0.0, 0
501950, 0.0, 0
501970, 59.89, 46
501990, 72.57, 80
502050, 0.0, 0
502240, 73.28, 137
502280, 80.45, 659
502300, 59.95, 30
502480, 0.0, 0
502810, 33.61, 19
502820, 73.06, 149
502880, 27.72, 36
502920, 70.49, 12
503220, 5.04, 3
503400, 90.15, 46
503490, 0.0, 0
503620, 0.0, 0
503750, 0.0, 0
503770, 80.07, 113
503940, 0.0, 0
504050, 0.0, 0
504410, 47.91, 8
504430, 0.0, 0
504460, 0.0, 0
504610, 0.0, 0
504660, 0.0, 0
504690, 0.0, 0
504770, 89.16, 461
504920, 0.0, 0
505070, 55.98, 14
505230, 0.0, 0
505460, 0.0, 0
505630, 0.0, 0
505640, 0.0, 0
505670, 0.0, 0
505680, 50.99, 12
506480, 0.0, 0
506540, 62.4, 4641
506760, 22.03, 7
506840, 47.03, 16
507390, 67.03, 271
507400, 57.5, 11
507520, 0.0, 0
508190, 85.41, 691
508250, 0.0, 0
508260, 57.87, 25
508330, 0.0, 0
508440, 0.0, 0
508460, 0.0, 0
508550, 64.9, 187
508580, 59.96, 12
508620, 0.0, 0
508660, 0.0, 0
508950, 28.42, 17
509140, 0.0, 0
509230, 24.31, 14
509250, 0.0, 0
509380, 0.0, 0
509620, 0.0, 0
509800, 44.85, 100
510190, 0.0, 0
510340, 0.0, 0
510370, 0.0, 0
510390, 0.0, 0
510420, 0.0, 0
510490, 0.0, 0
510510, 58.62, 681
510540, 0.0, 0
510590, 58.11, 15
510660, 48.1, 426
511110, 0.0, 0
511330, 28.98, 12
511350, 87.57, 88
511460, 50.99, 12
511490, 20.88, 13
511730, 0.0, 0
511740, 83.76, 404
512120, 0.0, 0
512180, 92.2, 83
512830, 13.71, 7
513000, 36.14, 1285
513160, 0.0, 0
513250, 85.66, 30
513270, 56.39, 27
513330, 0.0, 0
513540, 0.0, 0
513570, 47.0, 113
513600, 0.0, 0
513640, 0.0, 0
513710, 0.0, 0
513740, 21.8, 70
513860, 61.83, 17
514240, 38.12, 84
514310, 90.68, 250
514500, 0.0, 0
514510, 0.0, 1
514540, 0.0, 0
514550, 12.69, 4
514710, 0.0, 0
514740, 0.0, 0
514760, 0.0, 0
514990, 59.81, 49
515010, 0.0, 0
515060, 0.0, 0
515310, 54.51, 276
516030, 0.0, 0
516360, 0.0, 0
516450, 31.93, 7
516470, 28.98, 12
516640, 0.0, 0
516750, 88.43, 6064
516790, 0.0, 0
516830, 0.0, 0
517000, 70.28, 69
517010, 27.9, 25
517020, 43.52, 43
517100, 0.0, 0
517210, 49.88, 5
517400, 35.79, 18
517470, 48.05, 11
517480, 3.74, 4
517770, 0.0, 0
518580, 94.98, 1378
518620, 24.8, 85
518640, 0.0, 0
518670, 85.47, 140
518680, 0.0, 0
518720, 74.32, 129
518920, 57.97, 61
519030, 49.59, 25
519140, 65.88, 791
519860, 0.0, 0
519930, 20.97, 43
520300, 0.0, 0
520520, 15.58, 17
520530, 76.38, 818
520590, 0.0, 0
520670, 0.0, 0
520680, 0.0, 0
521110, 0.0, 0
521250, 0.0, 0
521380, 0.0, 0
521500, 70.81, 79
521620, 0.0, 0
521790, 0.0, 0
521860, 57.58, 46
521890, 0.0, 0
521920, 85.63, 65
521980, 36.28, 46
522010, 65.59, 28
522700, 12.69, 4
522940, 0.0, 0
523730, 57.19, 18
523750, 0.0, 0
523780, 0.0, 0
523860, 0.0, 0
524350, 0.0, 0
524540, 60.5, 20
524560, 79.09, 19
525360, 0.0, 0
525460, 0.0, 0
525530, 15.79, 13
525540, 28.13, 10
525640, 88.78, 160
525690, 0.0, 0
525700, 0.0, 0
526150, 0.0, 0
526290, 65.55, 32
526310, 55.98, 14
526430, 50.15, 50
526440, 0.0, 0
526750, 34.98, 27
527040, 0.0, 2
527320, 0.0, 0
527330, 19.95, 5
527450, 75.07, 354
527460, 0.0, 0
527470, 77.92, 26
527560, 0.0, 0
527570, 0.0, 0
527700, 64.63, 46
527710, 74.35, 61
527880, 0.0, 0
527950, 32.82, 15
528010, 33.15, 26
528160, 0.0, 0
528460, 70.08, 141
528790, 0.0, 0
528970, 38.75, 6
529000, 76.91, 91
529070, 0.0, 0
529090, 7.71, 2
529180, 0.0, 0
529240, 0.0, 0
529480, 72.68, 42
529500, 48.17, 29
529660, 0.0, 0
529670, 74.09, 90
529790, 59.96, 12
529900, 69.21, 41
529910, 0.0, 0
530020, 0.0, 0
530160, 43.3, 28
530340, 0.0, 0
530470, 0.0, 0
530540, 50.87, 46
530560, 0.0, 0
530620, 85.08, 3388
530820, 0.0, 0
530830, 44.76, 10
530890, 85.54, 904
530920, 66.0, 116
530930, 0.0, 0
530950, 0.0, 0
531190, 82.69, 53
531510, 0.0, 0
531660, 51.75, 47
531730, 86.22, 68
532190, 0.0, 0
532320, 54.43, 6
532470, 54.43, 6
532770, 69.58, 150
532840, 76.43, 567
533120, 76.43, 460
533260, 49.94, 20
533320, 45.9, 18
533330, 36.13, 22
533340, 21.56, 25
533620, 32.82, 147
533700, 0.0, 0
533770, 36.79, 8
533800, 0.0, 0
533990, 12.69, 4
534050, 0.0, 0
534480, 17.8, 26
534500, 78.6, 7388
535010, 28.47, 2
535150, 60.5, 50
535230, 76.25, 677
535370, 7.71, 2
535480, 0.0, 0
535490, 65.69, 66
535520, 0.0, 0
535530, 22.03, 7
535630, 51.75, 21
535750, 37.39, 3
535850, 0.0, 0
536050, 0.0, 0
536220, 76.13, 3687
536410, 57.87, 25
536930, 65.14, 2097
536950, 0.0, 0
536990, 77.76, 40
537340, 83.09, 236
537430, 0.0, 0
537520, 0.0, 0
537700, 66.92, 65
537920, 49.88, 5
538000, 0.0, 0
539470, 0.0, 0
539660, 81.48, 32
539670, 84.25, 112
540180, 16.25, 6
540370, 35.67, 12
540550, 45.94, 13
540610, 86.1, 726
540770, 0.0, 0
541150, 0.0, 0
541230, 76.98, 176
541310, 0.0, 0
541350, 0.0, 0
541930, 0.0, 0
542200, 81.48, 32
542240, 49.88, 5
542260, 92.51, 225
542270, 23.76, 9
542290, 77.92, 26
542360, 0.0, 0
542520, 61.53, 28
542790, 0.0, 0
542820, 41.03, 9
543010, 57.79, 140
543260, 0.0, 0
543290, 13.71, 7
543350, 47.03, 16
543440, 0.0, 0
543460, 47.9, 959
543600, 55.33, 17
543650, 10.46, 9
544000, 0.0, 0
544220, 16.63, 9
544270, 0.0, 0
544300, 0.0, 0
544390, 0.0, 0
544470, 0.0, 0
544510, 88.08, 92
544550, 0.0, 0
544590, 56.67, 42
545030, 82.87, 35
545240, 0.0, 0
545250, 42.12, 441
545340, 58.22, 7
545410, 69.21, 32
545430, 84.42, 39
545450, 0.0, 0
545540, 0.0, 0
545600, 0.0, 0
545620, 0.0, 0
545640, 0.0, 0
545850, 49.88, 5
545910, 0.0, 0
546120, 0.0, 0
546220, 0.0, 0
546230, 51.61, 29
546500, 0.0, 0
546670, 0.0, 0
546830, 0.0, 0
546900, 0.0, 0
547250, 6.98, 7
547260, 57.58, 46
547340, 86.22, 68
547360, 0.0, 0
547370, 0.0, 0
547670, 0.0, 0
547860, 0.0, 0
547910, 66.41, 100
547920, 17.5, 3
548170, 7.71, 2
548320, 0.0, 0
548370, 0.0, 0
548430, 0.0, 0
549030, 38.75, 6
549220, 0.0, 0
549700, 0.0, 0
549790, 0.0, 0
549910, 52.3, 40
549950, 42.97, 12
550010, 81.97, 544
550360, 69.85, 28
550590, 0.0, 0
550830, 0.0, 0
550840, 85.91, 369
551150, 0.0, 0
551190, 69.39, 50
551320, 38.92, 13
551330, 0.0, 0
551360, 0.0, 0
551370, 0.0, 0
552210, 0.0, 0
552300, 58.22, 7
552330, 0.0, 0
552450, 75.9, 259
552460, 82.66, 44
552540, 0.0, 0
552620, 0.0, 0
552880, 0.0, 0
553140, 0.0, 0
553320, 32.72, 31
553450, 38.18, 19
553500, 7.71, 2
553790, 76.92, 266
553800, 55.16, 29
553940, 0.0, 0
553950, 0.0, 0
553960, 32.12, 330
554280, 0.0, 0
554310, 60.97, 164
554560, 0.0, 0
554610, 0.0, 0
554710, 0.0, 0
554720, 0.0, 0
554920, 17.5, 3
555040, 0.0, 0
555050, 0.0, 0
555100, 0.0, 1
555150, 0.0, 0
555160, 88.73, 401
555220, 96.88, 3244
555450, 28.6, 146
555510, 0.0, 0
555520, 0.0, 0
555620, 67.24, 110
555650, 47.91, 8
555750, 53.15, 151
555820, 0.0, 0
555880, 88.63, 270
555920, 20.88, 13
556050, 0.0, 0
556060, 0.0, 0
556490, 0.0, 0
556640, 63.25, 44
556710, 41.03, 9
556740, 0.0, 0
556770, 11.87, 8
556920, 0.0, 0
557260, 23.76, 32
557320, 0.0, 0
557330, 0.0, 0
557340, 0.0, 0
557460, 32.9, 5
557600, 0.0, 0
557630, 83.27, 25
557720, 0.0, 0
557750, 61.43, 8
557760, 0.0, 0
557770, 42.97, 12
557880, 62.19, 72
558010, 0.0, 0
558260, 0.0, 0
558450, 77.19, 17
558610, 60.81, 169
558870, 17.8, 26
559130, 0.0, 0
559150, 0.0, 0
559210, 0.0, 0
559610, 92.85, 346
559650, 0.0, 0
559850, 49.88, 5
559970, 0.0, 0
560000, 90.2, 82
560250, 0.0, 0
561420, 0.0, 0
561510, 0.0, 0
561600, 0.0, 0
561610, 0.0, 0
561740, 0.0, 0
561770, 0.0, 0
561970, 54.97, 51
562210, 49.88, 5
562230, 0.0, 0
562250, 0.0, 0
562260, 0.0, 0
562270, 35.08, 251
562290, 0.0, 0
562320, 64.55, 27
562330, 82.69, 24
562360, 68.65, 61
562410, 88.71, 326
562480, 79.86, 29
562560, 0.0, 0
562740, 38.75, 6
563130, 35.67, 12
563170, 0.0, 0
563370, 0.0, 0
563530, 0.0, 0
563600, 0.0, 0
563730, 0.0, 0
563840, 0.0, 0
563860, 0.0, 0
564070, 2.11, 7
564090, 0.0, 0
564140, 0.0, 0
564230, 0.0, 0
564310, 93.02, 550
564340, 0.0, 0
564420, 61.43, 8
564740, 0.0, 0
564900, 23.88, 17
564980, 14.82, 10
565120, 0.0, 0
565140, 0.0, 0
565200, 58.91, 19
565390, 0.0, 0
565410, 52.39, 99
565490, 0.0, 0
565550, 15.69, 25
565640, 0.0, 0
565690, 64.18, 9
565720, 85.63, 65
565760, 0.0, 0
565860, 56.67, 42
565880, 25.9, 4
565890, 0.0, 3
566490, 0.0, 0
566700, 0.0, 0
567060, 85.66, 30
567170, 0.0, 0
567260, 21.35, 53
567480, 41.87, 14
567700, 0.0, 0
568160, 0.0, 0
568440, 86.55, 46
568720, 53.6, 44
568750, 0.0, 0
568860, 70.31, 18
568930, 0.0, 0
569200, 0.0, 0
569210, 25.9, 4
569270, 0.0, 0
569290, 0.0, 0
569430, 52.91, 30
569530, 0.0, 0
569760, 38.91, 78
569900, 0.0, 0
570230, 31.86, 9
570350, 47.91, 8
570380, 27.43, 42
570500, 69.58, 46
570690, 5.04, 3
570850, 31.93, 7
570970, 0.0, 0
571180, 0.0, 0
571340, 27.23, 8
571520, 54.72, 10
571680, 0.0, 0
571690, 0.0, 0
571910, 31.06, 30
572000, 57.48, 40
572170, 5.04, 3
572480, 28.47, 2
572640, 37.39, 3
572710, 0.0, 0
572720, 0.0, 0
572730, 0.0, 0
572870, 13.71, 7
573080, 0.0, 0
573110, 0.0, 0
573600, 0.0, 0
573660, 0.0, 0
574080, 58.43, 366
574090, 0.0, 0
574120, 0.0, 0
574500, 0.0, 0
574560, 0.0, 0
574590, 0.0, 0
574710, 31.86, 9
574860, 25.2, 11
574940, 38.18, 19
575010, 59.19, 42
575100, 19.95, 5
575140, 56.78, 45
575170, 0.0, 0
575620, 10.68, 36
575950, 0.0, 0
576020, 37.39, 3
576090, 0.0, 0
576230, 0.0, 0
576400, 70.88, 24
576440, 33.67, 340
576560, 49.26, 355
576590, 23.76, 9
576640, 0.0, 0
576740, 0.0, 0
576860, 0.0, 0
576960, 0.0, 0
577080, 51.1, 26
577230, 0.0, 0
577280, 43.69, 7
577320, 0.0, 0
577330, 19.95, 5
577480, 0.0, 0
577530, 0.0, 0
577580, 44.33, 4
577660, 70.45, 43
577760, 0.0, 0
577780, 16.6, 1
577980, 7.71, 2
578050, 0.0, 0
578080, 73.2, 30519
578180, 7.05, 63
578250, 63.31, 81
578310, 78.52, 3314
578320, 0.0, 0
578360, 0.0, 0
578600, 0.0, 0
578720, 0.0, 0
578800, 0.0, 0
578900, 73.59, 14
578930, 0.0, 0
579020, 0.0, 0
579120, 0.0, 0
579180, 0.0, 0
579580, 0.0, 1
579620, 0.0, 0
579640, 0.0, 0
579760, 0.0, 0
579780, 44.44, 22
580010, 0.0, 1
580200, 0.0, 0
580310, 0.0, 0
580420, 61.02, 24
580480, 0.0, 0
580520, 0.0, 0
580530, 0.0, 0
580590, 0.0, 0
580870, 43.69, 7
580950, 16.6, 1
580970, 0.0, 0
581090, 0.0, 0
581150, 0.0, 0
581230, 53.24, 79
581270, 0.0, 0
581310, 0.0, 0
581520, 59.81, 49
581620, 23.51, 579
581630, 89.19, 1709
581700, 16.25, 6
581810, 41.03, 9
581910, 0.0, 0
582030, 32.9, 5
582260, 0.0, 0
582360, 0.0, 0
582370, 48.05, 11
582440, 32.9, 5
582460, 0.0, 0
582860, 0.0, 0
582920, 0.0, 0
583030, 0.0, 0
583060, 0.0, 0
583090, 0.0, 0
583530, 0.0, 0
583890, 0.0, 0
584070, 0.0, 0
584780, 43.96, 24
585420, 0.0, 0
585590, 0.0, 0
585610, 0.0, 0
585680, 33.95, 30
585820, 0.0, 0
585860, 0.0, 0
585890, 90.93, 89
586020, 0.0, 0
586320, 0.0, 0
586560, 0.0, 0
586680, 0.0, 0
586720, 0.0, 0
586740, 0.0, 0
586790, 38.28, 17
586880, 0.0, 0
586920, 0.0, 0
586950, 0.0, 0
587180, 0.0, 0
587220, 0.0, 0
587560, 17.5, 3
587930, 38.75, 6
588030, 0.0, 0
588110, 16.6, 1
588210, 64.75, 1138
588240, 62.47, 36
588350, 0.0, 1
588420, 73.65, 49
588480, 0.0, 0
588630, 73.59, 14
588690, 94.25, 295
588720, 0.0, 0
588730, 90.87, 50
588920, 16.25, 6
588950, 0.0, 0
588980, 0.0, 0
589100, 0.0, 0
589150, 0.0, 0
589220, 0.0, 0
589290, 0.0, 0
589420, 25.9, 4
589430, 9.97, 5
589450, 0.0, 0
589480, 61.43, 8
589490, 0.0, 0
589590, 89.86, 151
589620, 48.17, 29
589670, 0.0, 0
589860, 68.97, 17
590380, 0.0, 0
590430, 27.23, 8
590560, 0.0, 0
590590, 0.0, 0
590640, 0.0, 0
590820, 0.0, 0
591000, 0.0, 0
591090, 0.0, 0
591470, 0.0, 0
591580, 0.0, 0
591660, 5.04, 3
591760, 0.0, 0
591790, 0.0, 0
591990, 0.0, 0
592020, 0.0, 0
592270, 0.0, 0
592640, 0.0, 0
592750, 61.43, 8
593720, 0.0, 0
593900, 31.86, 9
594120, 0.0, 0
594160, 1.05, 14
594570, 0.0, 0
594640, 10.53, 19
595030, 0.0, 0
595060, 25.9, 4
595090, 0.0, 0
595100, 44.57, 15
595150, 0.0, 0
595280, 0.0, 0
595340, 30.08, 145
595360, 41.03, 9
595510, 0.0, 0
595650, 0.0, 0
595760, 0.0, 0
595780, 0.0, 0
596150, 0.0, 0
596280, 0.0, 0
596400, 0.0, 0
596560, 51.29, 39
596570, 0.0, 0
596880, 0.0, 0
597090, 0.0, 0
597280, 0.0, 0
597770, 0.0, 0
598050, 0.0, 0
598070, 92.27, 60
598090, 2.47, 6
598150, 0.0, 0
598180, 0.0, 0
598410, 0.0, 0
598440, 56.16, 77
598450, 55.01, 23
598490, 0.0, 0
598990, 0.0, 0
599140, 0.0, 0
599880, 0.0, 0
599960, 56.48, 24
600170, 0.0, 0
600260, 0.0, 0
600330, 48.05, 11
600370, 95.49, 219
600420, 57.47, 34
600500, 0.0, 0
600980, 0.0, 0
600990, 0.0, 0
601080, 0.0, 0
601580, 0.0, 0
601750, 0.0, 0
601870, 28.13, 10
601890, 0.0, 0
602070, 0.0, 0
602080, 0.0, 0
602130, 31.93, 7
602250, 0.0, 0
602420, 0.0, 0
602520, 0.0, 0
602660, 0.0, 0
602930, 0.0, 0
603030, 0.0, 0
603040, 0.0, 0
603080, 16.6, 1
603120, 17.16, 23
603230, 74.91, 15
603320, 0.0, 0
603350, 0.0, 0
603420, 0.0, 0
603720, 0.0, 0
603780, 0.0, 0
603790, 74.67, 22
603850, 0.0, 0
603870, 0.0, 0
603890, 22.25, 34
604000, 64.18, 9
604030, 0.0, 0
604110, 0.0, 0
604230, 0.0, 0
604340, 0.0, 0
604490, 0.0, 0
604550, 0.0, 0
605060, 0.0, 0
605190, 37.39, 3
605220, 0.0, 0
605500, 80.55, 204
605790, 0.0, 0
605810, 13.83, 19
605830, 0.0, 0
606330, 67.5, 30
606350, 0.0, 0
606500, 0.0, 0
606690, 58.22, 7
606870, 0.0, 0
607230, 0.0, 0
607720, 0.0, 0
607760, 0.0, 0
608530, 0.0, 0
608580, 0.0, 0
608830, 0.0, 0
609340, 0.0, 0
610110, 0.0, 0
610500, 0.0, 0
610550, 0.0, 0
610680, 0.0, 0
610740, 0.0, 0
610930, 21.92, 66
611140, 54.72, 10
611640, 72.66, 20
611710, 0.0, 0
611750, 0.0, 0
611800, 0.0, 0
612070, 76.92, 446
612110, 76.2, 37
612120, 38.92, 13
612180, 0.0, 0
612190, 50.99, 12
612930, 0.0, 0
613100, 0.0, 0
613190, 0.0, 0
613200, 44.33, 4
613350, 0.0, 0
613550, 0.0, 0
613610, 49.88, 5
614380, 0.0, 0
614560, 22.03, 7
614650, 0.0, 0
614910, 0.0, 0
615020, 0.0, 0
615120, 0.0, 0
615530, 0.0, 0
615970, 0.0, 0
616220, 0.0, 0
616250, 0.0, 0
616520, 0.0, 0
616560, 76.35, 1340
617230, 0.0, 0
617240, 35.6, 14
617590, 0.0, 0
617700, 65.67, 40
618170, 0.0, 0
618560, 0.0, 0
619250, 0.0, 0
619740, 19.24, 14
619890, 0.0, 0
620210, 0.0, 0
620790, 0.0, 0
621290, 0.0, 2
622150, 0.0, 0
622200, 0.0, 0
622370, 0.0, 0
622550, 0.0, 0
622620, 0.0, 0
623360, 0.0, 0
623460, 0.0, 0
623470, 0.0, 0
